Longitude,Latitude,ListingIds
7.347943199999999,47.3645886,"['4000406296', '4000406300', '4000406299', '4000406298', '4000406297']"
7.3581836,47.3676033,"['4000617013', '4000628958', '4000628951', '4000617012']"
7.3600521,47.3750005,"['4000630298', '4000639513', '3003410227', '3003410229']"
7.374222199999999,47.18744539999999,"['4000945419', '4000945606', '4000945608', '4000945448']"
7.3874348,46.2615743,"['4000829745', '4000829750', '4000829743', '4000829751', '4000829749', '4000829748', '4000829747', '4000829746', '4000829744', '4000829742', '4000829741']"
7.423473099999999,47.35118000000001,"['3003150586', '4000946569', '4000946688', '3003150569']"
7.4627807,46.3074305,"['4000969606', '4000969608', '4000969607', '4000943414', '4000487193']"
7.4645748,46.307188,"['4000943441', '4000943424', '4000943418', '4000943416']"
7.508129599999998,46.3566345,"['4000943398', '4000654718', '4000442660', '4000165228', '3003197320', '3003157460', '4000122192', '3003387783', '3003153325', '4000945620', '4000900006', '4000742725', '4000787402']"
7.5450884,47.2121844,"['4000595243', '4000595239', '4000595255', '4000595290', '4000595234', '4000595203']"
7.567114999999999,47.56252689999999,"['3003346201', '3003346173', '3003346169', '3003346117', '3003346106']"
7.589072700000001,47.5530622,"['4000934338', '4000637619', '4000733458', '4000960810']"
7.5901619,47.57799379999999,"['4000958645', '4000958644', '4000838773', '4000838764']"
7.6054905,47.56503679999999,"['4000834631', '4000834630', '4000834535', '4000834526']"
7.631747499999999,47.55728999999999,"['4000937481', '4000739482', '4000894022', '4000967694', '4000966715']"
7.694618199999999,47.525742,"['4000960805', '4000960804', '4000503041', '4000960808', '4000960807', '4000960806', '4000960808', '4000960807', '4000960806']"
7.722711700000001,47.48104130000001,"['4000862256', '4000792653', '4000792652', '4000792650', '4000792648']"
7.8031928,47.4736973,"['4000726110', '4000861831', '4000205864', '4000774746']"
7.916885799999999,47.3470939,"['4000597729', '4000275470', '4000359191', '4000597732']"
7.917736199999999,47.3456256,"['4000599466', '4000717866', '3003410298', '4000486028', '4000826010', '4000837608']"
7.977206400000001,46.3103096,"['4000890452', '3003313330', '4000971627', '4000941203', '4000964761']"
7.9971213,47.4632281,"['4000958073', '4000958072', '4000958069', '4000958038', '4000958023', '4000957990', '4000958142']"
8.0571745,47.3779925,"['4000898639', '4000185217', '4000812246', '4000870678', '4000812245', '4000812244']"
8.2118825,47.48008429999999,"['4000890003', '4000939159', '4000897173', '4000842457']"
8.227511999999999,46.818188,"['109559241', '4000841029', '4000551392', '4000705852', '4000903179', '4000894584', '4000652620', '4000964063', '4000953715', '4000938182', '4000974668', '4000455939', '3003157570', '4000878596', '3003200370', '4000417378', '4000846162', '4000897455', '4000799931', '4000892668', '4000798581', '4000927331', '4000838941', '4000886890', '4000524297', '4000959745', '4000832934', '4000656586', '4000925250', '109559317', '109559147', '4000928556', '4000941384', '4000382456', '4000969596', '4000878591', '4000878588', '4000878584', '4000878583', '4000855551', '4000776024', '4000855763', '4000960811', '4000842719', '4000875984', '4000791394', '4000958940', '4000813145', '4000944337', '4000961919', '4000898989', '3003155891', '3003155883', '4000783520', '4000739997', '4000857840', '4000857838', '4000516741', '4000961530', '4000856309', '4000793086', '4000195493', '4000903422', '3002069685', '4000972434', '4000954057', '4000878849', '4000813924', '4000910841', '4000813922', '4000813920', '4000768851', '4000946508', '4000964605', '4000935119', '4000848671', '4000680448', '4000674059', '3002894603', '3002342010', '3002119085', '3001680121', '3000029481', '2147851333', '4000963640', '4000937927', '4000895984', '4000962925', '4000165227', '4000890904', '4000967376', '4000969540', '4000961685', '4000945814', '4000924787', '4000872599', '4000860700', '4000492664', '4000958210', '4000953280', '4000950856', '4000939454', '4000837672', '3000091889', '4000896111', '4000949067', '4000709410', '4000965660', '4000961826', '4000962561', '4000961524', '4000941948', '4000941226', '4000904139', '4000897434', '4000878701', '4000965362', '4000897440', '3003134027', '4000941227', '4000897451', '4000855469', '4000965665', '4000965659', '4000873810', '4000965658', '4000956604', '4000894073', '4000893670', '4000976048', '4000976043', '4000944707', '4000961724', '4000937979']"
8.2972173,47.46850509999999,"['4000887932', '4000887909', '4000931348', '4000968448']"
