ListingId;Feature
0b56c101-cb01-4b99-81bd-949df849450e;Lift
0c34524f-110d-4e1b-8cff-80ac5648bf5b;Balkon / Terrasse
0c34524f-110d-4e1b-8cff-80ac5648bf5b;Lift
791d0c41-96cd-4aac-97db-058b4b65d871;Balkon / Terrasse
791d0c41-96cd-4aac-97db-058b4b65d871;Rollstuhlgängig
791d0c41-96cd-4aac-97db-058b4b65d871;Lift
791d0c41-96cd-4aac-97db-058b4b65d871;Stromanschluss
791d0c41-96cd-4aac-97db-058b4b65d871;Wasseranschluss
791d0c41-96cd-4aac-97db-058b4b65d871;Abwasseranschluss
cd68d263-128a-40bd-9007-dcb77a79a39f;Haustiere erlaubt
cd68d263-128a-40bd-9007-dcb77a79a39f;Balkon / Terrasse
cd68d263-128a-40bd-9007-dcb77a79a39f;Keller
cd68d263-128a-40bd-9007-dcb77a79a39f;Geschirrspüler
cd68d263-128a-40bd-9007-dcb77a79a39f;Kabel-TV
cd68d263-128a-40bd-9007-dcb77a79a39f;Cheminée
cd68d263-128a-40bd-9007-dcb77a79a39f;Aussicht
cd68d263-128a-40bd-9007-dcb77a79a39f;Parkplatz
158b15bc-58d1-412c-8f22-817e6cec683e;Balkon / Terrasse
158b15bc-58d1-412c-8f22-817e6cec683e;Parkplatz
0cd35b8d-c6ef-4d8f-9bc6-39c539e26d69;Parkplatz
0cd35b8d-c6ef-4d8f-9bc6-39c539e26d69;Lift
3a970009-a9f7-4e21-83b9-6d68766c6214;Keller
3a970009-a9f7-4e21-83b9-6d68766c6214;Kabel-TV
3a970009-a9f7-4e21-83b9-6d68766c6214;Cheminée
3a970009-a9f7-4e21-83b9-6d68766c6214;Aussicht
3a970009-a9f7-4e21-83b9-6d68766c6214;Parkplatz
b706902a-3403-43fc-93ae-0be622eb682d;Balkon / Terrasse
b706902a-3403-43fc-93ae-0be622eb682d;Parkplatz
b706902a-3403-43fc-93ae-0be622eb682d;Lift
a3f88c70-f3d1-4351-b14a-a27ca8120ff2;Waschmaschine
a3f88c70-f3d1-4351-b14a-a27ca8120ff2;Aussicht
a3f88c70-f3d1-4351-b14a-a27ca8120ff2;Ruhige Lage
a3f88c70-f3d1-4351-b14a-a27ca8120ff2;Kinderfreundlich
a3f88c70-f3d1-4351-b14a-a27ca8120ff2;Parkplatz
efd6bd5a-7b08-4bb9-994a-6b4935c74b3f;Lift
89117fe2-66a7-4d4b-bb3e-7f30cd777d93;Balkon / Terrasse
89117fe2-66a7-4d4b-bb3e-7f30cd777d93;Keller
89117fe2-66a7-4d4b-bb3e-7f30cd777d93;Geschirrspüler
89117fe2-66a7-4d4b-bb3e-7f30cd777d93;Parkplatz
89117fe2-66a7-4d4b-bb3e-7f30cd777d93;Garage
59b021ad-bef1-4bee-8874-84be1c5bb576;Balkon / Terrasse
59b021ad-bef1-4bee-8874-84be1c5bb576;Keller
59b021ad-bef1-4bee-8874-84be1c5bb576;Geschirrspüler
59b021ad-bef1-4bee-8874-84be1c5bb576;Parkplatz
59b021ad-bef1-4bee-8874-84be1c5bb576;Garage
59190044-a0c5-4155-a5ca-1349de566e9f;Geschirrspüler
59190044-a0c5-4155-a5ca-1349de566e9f;Waschmaschine
59190044-a0c5-4155-a5ca-1349de566e9f;Rollstuhlgängig
59190044-a0c5-4155-a5ca-1349de566e9f;Parkplatz
59190044-a0c5-4155-a5ca-1349de566e9f;Lift
9ce2242a-c81b-4763-b8e5-86ed52b36428;Haustiere erlaubt
9ce2242a-c81b-4763-b8e5-86ed52b36428;Balkon / Terrasse
9ce2242a-c81b-4763-b8e5-86ed52b36428;Keller
9ce2242a-c81b-4763-b8e5-86ed52b36428;Geschirrspüler
9ce2242a-c81b-4763-b8e5-86ed52b36428;Rollstuhlgängig
9ce2242a-c81b-4763-b8e5-86ed52b36428;Parkplatz
9ce2242a-c81b-4763-b8e5-86ed52b36428;Garage
9ce2242a-c81b-4763-b8e5-86ed52b36428;Lift
20deea7a-9885-4beb-8b5f-a0361c0ee7ab;Balkon / Terrasse
20deea7a-9885-4beb-8b5f-a0361c0ee7ab;Garage
20deea7a-9885-4beb-8b5f-a0361c0ee7ab;Lift
e056e46d-8d1d-4e16-ba5c-04075944778f;Lift
0e1f49ba-ce0d-40e0-8d95-04d1b3447001;Balkon / Terrasse
0e1f49ba-ce0d-40e0-8d95-04d1b3447001;Cheminée
0e1f49ba-ce0d-40e0-8d95-04d1b3447001;Parkplatz
0e1f49ba-ce0d-40e0-8d95-04d1b3447001;Lift
b1c2b29a-7a8a-41b9-8ed3-f72467e38418;Garage
b1c2b29a-7a8a-41b9-8ed3-f72467e38418;Lift
3ca697bf-7c10-4b82-8952-b522f35fe196;Haustiere erlaubt
3ca697bf-7c10-4b82-8952-b522f35fe196;Balkon / Terrasse
3ca697bf-7c10-4b82-8952-b522f35fe196;Kabel-TV
3ca697bf-7c10-4b82-8952-b522f35fe196;Kinderfreundlich
3ca697bf-7c10-4b82-8952-b522f35fe196;Parkplatz
3ca697bf-7c10-4b82-8952-b522f35fe196;Lift
a05ad091-e29d-4405-bef8-daa4b55bfa99;Balkon / Terrasse
a05ad091-e29d-4405-bef8-daa4b55bfa99;Kabel-TV
a05ad091-e29d-4405-bef8-daa4b55bfa99;Aussicht
a05ad091-e29d-4405-bef8-daa4b55bfa99;Rollstuhlgängig
a05ad091-e29d-4405-bef8-daa4b55bfa99;Ruhige Lage
a05ad091-e29d-4405-bef8-daa4b55bfa99;Kinderfreundlich
a05ad091-e29d-4405-bef8-daa4b55bfa99;Parkplatz
a05ad091-e29d-4405-bef8-daa4b55bfa99;Lift
ed013132-680a-4eb2-b9b3-bb32f8ad55b1;Haustiere erlaubt
ed013132-680a-4eb2-b9b3-bb32f8ad55b1;Balkon / Terrasse
ed013132-680a-4eb2-b9b3-bb32f8ad55b1;Rollstuhlgängig
ed013132-680a-4eb2-b9b3-bb32f8ad55b1;Kinderfreundlich
ed013132-680a-4eb2-b9b3-bb32f8ad55b1;Parkplatz
ed013132-680a-4eb2-b9b3-bb32f8ad55b1;Lift
e90a020f-1f11-478b-aa0b-330b14f2e658;Haustiere erlaubt
e90a020f-1f11-478b-aa0b-330b14f2e658;Balkon / Terrasse
e90a020f-1f11-478b-aa0b-330b14f2e658;Kabel-TV
e90a020f-1f11-478b-aa0b-330b14f2e658;Kinderfreundlich
e90a020f-1f11-478b-aa0b-330b14f2e658;Parkplatz
e90a020f-1f11-478b-aa0b-330b14f2e658;Lift
81ff12ef-8b65-44d0-9088-592c61b36fb2;Balkon / Terrasse
81ff12ef-8b65-44d0-9088-592c61b36fb2;Kabel-TV
81ff12ef-8b65-44d0-9088-592c61b36fb2;Kinderfreundlich
81ff12ef-8b65-44d0-9088-592c61b36fb2;Parkplatz
81ff12ef-8b65-44d0-9088-592c61b36fb2;Garage
81ff12ef-8b65-44d0-9088-592c61b36fb2;Lift
cf13f160-66ec-4206-ac76-b272708603b5;Haustiere erlaubt
cf13f160-66ec-4206-ac76-b272708603b5;Balkon / Terrasse
cf13f160-66ec-4206-ac76-b272708603b5;Keller
cf13f160-66ec-4206-ac76-b272708603b5;Geschirrspüler
cf13f160-66ec-4206-ac76-b272708603b5;Parkplatz
cf13f160-66ec-4206-ac76-b272708603b5;Garage
cf13f160-66ec-4206-ac76-b272708603b5;Lift
dc689181-8dca-421c-8f63-7c52f7194b2f;Balkon / Terrasse
dc689181-8dca-421c-8f63-7c52f7194b2f;Parkplatz
5bfad996-675d-4fd5-bd52-553adef1dabb;Balkon / Terrasse
5bfad996-675d-4fd5-bd52-553adef1dabb;Parkplatz
5bfad996-675d-4fd5-bd52-553adef1dabb;Lift
86943e43-7d3c-48a7-bf6d-bb196b5341b7;Haustiere erlaubt
86943e43-7d3c-48a7-bf6d-bb196b5341b7;Balkon / Terrasse
86943e43-7d3c-48a7-bf6d-bb196b5341b7;Kabel-TV
86943e43-7d3c-48a7-bf6d-bb196b5341b7;Rollstuhlgängig
86943e43-7d3c-48a7-bf6d-bb196b5341b7;Parkplatz
86943e43-7d3c-48a7-bf6d-bb196b5341b7;Lift
c0317340-1e47-4686-90d4-8fb9d4d8c2a1;Balkon / Terrasse
c0317340-1e47-4686-90d4-8fb9d4d8c2a1;Aussicht
c0317340-1e47-4686-90d4-8fb9d4d8c2a1;Parkplatz
20556b2f-5e31-40b4-8633-402c23cf81a8;Haustiere erlaubt
20556b2f-5e31-40b4-8633-402c23cf81a8;Balkon / Terrasse
20556b2f-5e31-40b4-8633-402c23cf81a8;Rollstuhlgängig
20556b2f-5e31-40b4-8633-402c23cf81a8;Kinderfreundlich
20556b2f-5e31-40b4-8633-402c23cf81a8;Parkplatz
20556b2f-5e31-40b4-8633-402c23cf81a8;Lift
f17a3900-d118-46e7-b3c9-ae287457343b;Haustiere erlaubt
f17a3900-d118-46e7-b3c9-ae287457343b;Balkon / Terrasse
f17a3900-d118-46e7-b3c9-ae287457343b;Kabel-TV
f17a3900-d118-46e7-b3c9-ae287457343b;Rollstuhlgängig
f17a3900-d118-46e7-b3c9-ae287457343b;Kinderfreundlich
f17a3900-d118-46e7-b3c9-ae287457343b;Parkplatz
f17a3900-d118-46e7-b3c9-ae287457343b;Lift
f17a3900-d118-46e7-b3c9-ae287457343b;Swimmingpool
b1f39277-b768-4eae-9504-7594dbf170c1;Balkon / Terrasse
b1f39277-b768-4eae-9504-7594dbf170c1;Aussicht
b1f39277-b768-4eae-9504-7594dbf170c1;Rollstuhlgängig
b1f39277-b768-4eae-9504-7594dbf170c1;Hochparterre
b1f39277-b768-4eae-9504-7594dbf170c1;Stromanschluss
b1f39277-b768-4eae-9504-7594dbf170c1;Wasseranschluss
b1f39277-b768-4eae-9504-7594dbf170c1;Abwasseranschluss
603a5c7d-42fc-4ed3-944f-aac1503e2405;Balkon / Terrasse
603a5c7d-42fc-4ed3-944f-aac1503e2405;Aussicht
77e5b606-6c56-48b8-ab9b-b770026039e0;Balkon / Terrasse
77e5b606-6c56-48b8-ab9b-b770026039e0;Lift
2cf43855-10ad-40aa-b313-47a5288ccc85;Balkon / Terrasse
2cf43855-10ad-40aa-b313-47a5288ccc85;Parkplatz
2cf43855-10ad-40aa-b313-47a5288ccc85;Lift
0f156137-64b5-4a70-9274-425111276925;Haustiere erlaubt
0f156137-64b5-4a70-9274-425111276925;Balkon / Terrasse
0f156137-64b5-4a70-9274-425111276925;Keller
0f156137-64b5-4a70-9274-425111276925;Geschirrspüler
0f156137-64b5-4a70-9274-425111276925;Kabel-TV
0f156137-64b5-4a70-9274-425111276925;Aussicht
0f156137-64b5-4a70-9274-425111276925;Rollstuhlgängig
0f156137-64b5-4a70-9274-425111276925;Parkplatz
0f156137-64b5-4a70-9274-425111276925;Garage
0f156137-64b5-4a70-9274-425111276925;Lift
3cd4d7f5-994a-43c8-83e1-5d0a3368e03b;Balkon / Terrasse
3cd4d7f5-994a-43c8-83e1-5d0a3368e03b;Garage
c3539d85-677a-4907-86ab-fd345c25e385;Haustiere erlaubt
c3539d85-677a-4907-86ab-fd345c25e385;Rollstuhlgängig
c3539d85-677a-4907-86ab-fd345c25e385;Kinderfreundlich
c3539d85-677a-4907-86ab-fd345c25e385;Parkplatz
c3539d85-677a-4907-86ab-fd345c25e385;Lift
fd6a4844-3abb-441a-93f5-05e9fdd092e5;Haustiere erlaubt
fd6a4844-3abb-441a-93f5-05e9fdd092e5;Balkon / Terrasse
fd6a4844-3abb-441a-93f5-05e9fdd092e5;Waschmaschine
fd6a4844-3abb-441a-93f5-05e9fdd092e5;Aussicht
fd6a4844-3abb-441a-93f5-05e9fdd092e5;Rauchen erlaubt
fd6a4844-3abb-441a-93f5-05e9fdd092e5;Ruhige Lage
fd6a4844-3abb-441a-93f5-05e9fdd092e5;Parkplatz
fd6a4844-3abb-441a-93f5-05e9fdd092e5;Garage
fd6a4844-3abb-441a-93f5-05e9fdd092e5;Lift
0fac9d79-de63-48f0-9370-e0d73fc197d2;Aussicht
0fac9d79-de63-48f0-9370-e0d73fc197d2;Kinderfreundlich
dcf8ebf6-4215-464d-8e2c-10e150f35b41;Parkplatz
dcf8ebf6-4215-464d-8e2c-10e150f35b41;Lift
dcf8ebf6-4215-464d-8e2c-10e150f35b41;Hochparterre
58b6a8cf-c2f5-4228-90e6-d12301c14ad2;Balkon / Terrasse
58b6a8cf-c2f5-4228-90e6-d12301c14ad2;Cheminée
58b6a8cf-c2f5-4228-90e6-d12301c14ad2;Kinderfreundlich
a155c85f-b79e-4857-824c-a0cad5b6a229;Haustiere erlaubt
a155c85f-b79e-4857-824c-a0cad5b6a229;Balkon / Terrasse
a155c85f-b79e-4857-824c-a0cad5b6a229;Rollstuhlgängig
a155c85f-b79e-4857-824c-a0cad5b6a229;Kinderfreundlich
a155c85f-b79e-4857-824c-a0cad5b6a229;Parkplatz
a155c85f-b79e-4857-824c-a0cad5b6a229;Lift
cc6d0603-4be3-4a34-b5b1-67671c040602;Balkon / Terrasse
cc6d0603-4be3-4a34-b5b1-67671c040602;Parkplatz
cc6d0603-4be3-4a34-b5b1-67671c040602;Lift
ae0d17d9-b35b-462c-bcb4-8ed0bd23d4fb;Balkon / Terrasse
ae0d17d9-b35b-462c-bcb4-8ed0bd23d4fb;Aussicht
ae0d17d9-b35b-462c-bcb4-8ed0bd23d4fb;Stromanschluss
ae0d17d9-b35b-462c-bcb4-8ed0bd23d4fb;Wasseranschluss
ae0d17d9-b35b-462c-bcb4-8ed0bd23d4fb;Abwasseranschluss
ae0d17d9-b35b-462c-bcb4-8ed0bd23d4fb;Gasanschluss
b731c059-d1f5-453b-a770-ad109dd6a002;Haustiere erlaubt
b731c059-d1f5-453b-a770-ad109dd6a002;Balkon / Terrasse
b731c059-d1f5-453b-a770-ad109dd6a002;Geschirrspüler
b731c059-d1f5-453b-a770-ad109dd6a002;Parkplatz
b731c059-d1f5-453b-a770-ad109dd6a002;Lift
ba20be58-f615-4e47-a211-f5be383329a8;Balkon / Terrasse
ba20be58-f615-4e47-a211-f5be383329a8;Lift
a431e4eb-9e92-4b91-a179-95cc17771b9e;Lift
e5b8337e-5649-49a6-bed5-9632aa259522;Parkplatz
e5b8337e-5649-49a6-bed5-9632aa259522;Lift
69ef9db7-8701-4a35-93a6-b39aa7c506bd;Haustiere erlaubt
69ef9db7-8701-4a35-93a6-b39aa7c506bd;Balkon / Terrasse
69ef9db7-8701-4a35-93a6-b39aa7c506bd;Kabel-TV
69ef9db7-8701-4a35-93a6-b39aa7c506bd;Rollstuhlgängig
69ef9db7-8701-4a35-93a6-b39aa7c506bd;Kinderfreundlich
69ef9db7-8701-4a35-93a6-b39aa7c506bd;Parkplatz
69ef9db7-8701-4a35-93a6-b39aa7c506bd;Lift
78743c90-6ef2-420c-8fae-8f061190907e;Haustiere erlaubt
78743c90-6ef2-420c-8fae-8f061190907e;Balkon / Terrasse
78743c90-6ef2-420c-8fae-8f061190907e;Kabel-TV
78743c90-6ef2-420c-8fae-8f061190907e;Parkplatz
e68f630d-ea08-449c-a631-b4634bf62508;Haustiere erlaubt
