LocationId,Street,ZIP,longitude,latitude,#supermarkets,#foodandbeverage,BFS_NUMMER,NAME,Einkommenssteuer_Kanton,Einkommenssteuer_Gemeinde,Vermögenssteuer_Kanton,Vermögenssteuer_Gemeinde
c250f94c-8570-4d65-8062-d346d9b449dd,Zürcherstrasse 43,5400.0,8.306312799999999,47.46670450000001,0,4,4021,Baden,112.0,92.0,112.0,92.0
5a645122-33b3-4552-821e-21c473153331,Hauptstrasse 8,5200.0,8.2075663,47.4836874,6,19,4095,Brugg,112.0,97.0,112.0,97.0
6edb03aa-8dbf-496f-b2ac-18473579c1fe,Köllikerstrasse 2a/2b,5036.0,8.0461063,47.355914,1,6,4010,Oberentfelden,112.0,110.0,112.0,110.0
f96ac32b-a5e6-4e19-b318-9a5ff00d93fb,Frohdörfli 14,5034.0,8.0821294,47.3668193,1,4,4012,Suhr,112.0,112.0,112.0,112.0
66988c97-d8ee-4cb9-b6d1-0cff74a8c43a,Loorenstrasse 4d,5443.0,8.3045261,47.4251279,1,2,4035,Niederrohrdorf,112.0,97.0,112.0,97.0
593050f2-27c2-45d1-8d0d-e5a8739c0bc9,Bärenweg 2,5303.0,8.254131,47.534171,0,2,4047,WÃ¼renlingen,112.0,100.0,112.0,100.0
cbe214a4-1466-49df-a60f-1f9c4d531098,Neuweg 6,5605.0,8.2385661,47.37860300000001,2,0,4065,Dottikon,112.0,97.0,112.0,97.0
6c096d2a-e764-486c-96ac-5e32adc596e3,Salmenweg 10,5330.0,8.293859,47.5879409,1,3,4324,Zurzach,112.0,115.0,112.0,115.0
e120f23e-6997-4f35-9330-d6f7a2e197ae,Hauptstr. 30 (Nord),5312.0,8.246882,47.57104469999999,0,1,4303,BÃ¶ttstein,112.0,107.0,112.0,107.0
5cb08a83-50c4-4ac1-9eb7-984322b2e20c,Kirchenbreitestr. 40/42,5734.0,8.187863199999999,47.2588812,0,1,4141,Reinach (AG),112.0,115.0,112.0,115.0
7161088a-8d27-4aec-be12-394330b2244e,Bachtalenweg 2,4314.0,7.868572599999999,47.5408474,0,0,4263,Zeiningen,112.0,112.0,112.0,112.0
34852441-7723-4786-b06a-fc4e113e1e5b,Im Grossacher 40,5622.0,8.281696,47.3325842,0,1,4240,Waltenschwil,112.0,106.0,112.0,106.0
6e67250d-b127-423d-86f9-405423a88ac8,Sommerhaldenstrasse 49,5200.0,8.2278742,47.4981556,0,1,4095,Brugg,112.0,97.0,112.0,97.0
ec150ec6-1bc3-4d70-9b51-10df67de7c6b,Erlinsbacherstrasse 78,5000.0,8.0328226,47.3955355,0,0,4001,Aarau,112.0,96.0,112.0,96.0
89d40597-9ed3-4b64-8696-ccb3b649261f,Parkweg 9,4852.0,7.895436399999999,47.3056942,0,4,4282,Rothrist,112.0,110.0,112.0,110.0
31ee7c2c-684b-403f-9dcc-6c0301938e13,Dorfstrasse 312,5054.0,8.0640708,47.2765263,0,0,4275,Kirchleerau,112.0,123.0,112.0,123.0
c381089a-c609-4536-923e-e2395c5f36bb,Delfterstr. 43,5004.0,8.0615353,47.4030387,1,0,4001,Aarau,112.0,96.0,112.0,96.0
cdef343e-958f-4026-b8a7-766e481a11b0,Delfterstr. 36,5004.0,8.061575099999999,47.4019142,3,2,4001,Aarau,112.0,96.0,112.0,96.0
