LocationId;Street;ZIP;longitude;latitude
85ca9c3c-ccc6-46fe-bcf9-e8cb8cda0950;Via Vincenzo d'Alberti 5A;6600;NULL;NULL
2c25bbf3-8ce9-4eb2-9f4c-6cb6c90f2056;Viale Lungolago 12;6614;NULL;NULL
749176fe-e902-4909-9a58-883ee98bba61;Via Verbano 23A Minusio;6648;NULL;NULL
17d74230-4771-470f-bc46-188f3f6039cf;;6877;NULL;NULL
18ad17f6-852c-43c4-a7e1-f45a13a05db1;Via alle Brughette 1A/1B;6918;NULL;NULL
b983737a-fc1f-4619-9220-293f43acc916;Lugano;6900;NULL;NULL
a32ffa15-5bc7-4d87-b753-25a93af3bb30;Via delle Vigne 42;6648;NULL;NULL
dce7772f-98aa-4e39-8055-a81af7ba5417;Via Patriziale 6;6600;NULL;NULL
a15de97c-2f86-4436-8698-5eff5bea6903;Via Canova;6900;NULL;NULL
02e2b77c-e017-48e9-b552-b1f919573676;;6855;NULL;NULL
b6a3f8f1-e72e-4f62-bb55-20673c3d7845;Contrada Prò;6979;NULL;NULL
a5b75109-6648-4898-aa2e-2b4ec7ff9c97;Via R. Simen 43;6648;NULL;NULL
2202e7ad-c38a-4ea4-a249-44f5f1af1d38;;6932;NULL;NULL
289452ad-f85e-49cb-9643-53722c88ec42;Viale Castagnola;6900;NULL;NULL
abd5d1a5-56a1-4880-9008-dbba090e33b2;Via Esplanade;6648;NULL;NULL
2f1ff80a-f600-40aa-8920-64eee461c33a;;6900;NULL;NULL
468a4eaf-fe1e-4b13-871f-208de74884ed;strada da ruvers 7;6822;NULL;NULL
ff66be33-55f2-471b-a0d0-3b11978889e1;Viale Camillo Olgiati;6512;NULL;NULL
0666d5ee-897c-4f57-883f-184e6c768b2e;;6900;NULL;NULL
fc4a1ac1-67d1-467a-8940-6e74888443a4;via al Deserto;6950;NULL;NULL
250478a6-cfd9-4700-9602-c3a3998c3715;Via Sociale 4;6600;NULL;NULL
13f95a82-4c4d-42c6-a8a5-ed3d4c878b5e;Lugano;6962;NULL;NULL
956b18e6-5d81-4a5c-9123-914a9741751b;Via cà del Caccia 7;6943;NULL;NULL
af914bb9-d7c9-47c8-8cd2-45110c26faa9;Via Angelo Nessi 38;6600;NULL;NULL
20ed4683-4a84-489a-93f4-3fff4f0f17a2;Via Cantonale 37;6705;NULL;NULL
81188162-7b09-43cc-91ef-b174f64e83cb;;6830;NULL;NULL
5402d585-798f-4e5f-ba9e-e14c20d4835f;Paradiso;6900;NULL;NULL
186b05c9-f5c1-420e-912b-4bb758db3279;Via Molinazzo 9;6962;NULL;NULL
40a6ff7e-a9f9-4f29-87bb-7ac13591e857;;6983;NULL;NULL
121958ed-e021-4f29-bcba-e62a0284b863;Bachstrasse 2;9410;NULL;NULL
1aa64b21-463f-4bfe-852d-4b0f6de83a48;NULL;NULL;NULL;NULL
d2444553-4fe2-4b73-a148-f561e6f076b4;Güetli 1028;9428;NULL;NULL
549983d4-2671-4f36-8a6b-19f498ce4222;Wilen 1077;9428;NULL;NULL
c6321c84-8b94-4223-a909-272b0ad16d2e;Friedberg 1316;9427;NULL;NULL
74aef078-ce41-4c6f-b469-e3a23772ed8b;Thalerstrasse 12;9410;NULL;NULL
5b020c84-b6e8-41a3-a07b-cefcdd502a4b;Am Mattenbach 1;9035;NULL;NULL
f680abfa-a46d-4f61-8443-fb65c83f5eb9;Am Mattenbach 1;9035;NULL;NULL
bae3bd90-cccd-476b-812b-6d534c800c85;Schwendistrasse 7;9411;NULL;NULL
36a94286-3bf6-4998-bf33-314088bb5d54;Dorf 15;9411;NULL;NULL
6c0f9c36-e89b-4a5d-aba1-d970a6afe062;Ahornstrasse 3;9100;NULL;NULL
8fe295f4-9490-49c9-8576-bbc113d991b5;Friedberg 1314;9427;NULL;NULL
02a0fca3-bce9-4c5b-ae40-5435f724ca45;Poststrasse 27;9410;NULL;NULL
df73c899-8b81-43d4-8b15-0eda0d754c41;Birkenstrasse 12;9100;NULL;NULL
23bf32af-3190-4d86-80af-b5e7fdf98e09;Waldeggstrasse 4;9100;NULL;NULL
378fc56d-dab5-49f1-8985-20b29ff3ab40;Am Rosenberg 8;9410;NULL;NULL
f6a4e3bf-6c22-451d-beaf-7a481d865922;Degersheimerstrasse 24;9100;NULL;NULL
7b799275-1fbd-42ee-8493-6760fe490ec4;NULL;NULL;NULL;NULL
1d593e6f-f14f-451f-a1cb-58c2609bba17;Degersheimerstrasse 24;9100;NULL;NULL
d6abe55e-0735-4b34-a1ae-6ae0f3455afc;Degersheimerstrasse 24;9100;NULL;NULL
1a04c110-0aa9-47f0-9883-b8ff6808a65b;Degersheimerstrasse 29a;9100;NULL;NULL
243f3d6d-2f61-4acb-8814-c4324865d271;Bruggereggstrasse 15;9100;NULL;NULL
